,city
0,Ludhiana
1,Varanasi
2,Visakhapatnam
3,Mumbai
4,Kanpur
5,Ahmedabad
6,Thane
7,Nashik
8,Bangalore
9,Patna
10,Rajkot
11,Jaipur
12,Pune
13,Lucknow
14,Meerut
15,Agra
16,Surat
17,Faridabad
18,Hyderabad
19,Srinagar
20,Ghaziabad
21,Kolkata
22,Chennai
23,Kalyan
24,Nagpur
25,Vadodara
26,Vasai-Virar
27,Delhi
28,Bhopal
29,Indore
30,Ishanabad
31,Vidhi
32,Ayush
33,Gurgaon
34,Krishna
35,Aishwarya
36,Keshav
37,Harsha
38,Nalini
39,Aditya
40,Malyansh
41,Raghavendra
42,Saanvi
43,M.Tech
44,Bhavna
45,Less Delhi
46,Nandini
47,M.Com
48,Plata
49,Atharv
50,Pratyush
51,City
52,3.0
53,Less than 5 Kalyan
54,MCA
55,Mira
56,Moreadhyay
57,Morena
58,Ishkarsh
59,Kashk
60,Mihir
61,Vidya
62,Tolkata
63,Anvi
64,Krinda
65,Ayansh
66,Shrey
67,Ivaan
68,Vaanya
69,Gaurav
70,Harsh
71,Reyansh
72,Kashish
73,Kibara
74,Vaishnavi
75,Chhavi
76,Parth
77,Mahi
78,Tushar
79,MSc
80,No
81,Rashi
82,ME
83,Molkata
84,Researcher
85,Kagan
86,Armaan
87,Ithal
88,Nalyan
89,Dhruv
90,Galesabad
91,Itheg
92,Aaradhya
93,Pooja
94,Khushi
95,Khaziabad
96,Jhanvi
97,Unirar
98,Malyan
99,Less than 5 hours
100,Aditi
101,Mhopal
102,Avni
103,Ira
104,Lawyer
105,Thani
106,Hrithik
107,Unaly
108,Is Kanpur
109,Golkata
110,Sara
111,Saurav
112,Vikram
113,Siddhesh
114,Vaikot
115,Leela
116,Chemist
117,San Vasai-Virar
118,More Delhi
119,Pratham
120,Abhinav
121,Rolkata
122,Ghopal
123,No.12
